d,tube_stops_d,car_prob_d
"116.56,40.08",0,15
"116.20,40.22",0,19
"116.73,39.94",0,1
"116.39,39.98",2,50
"116.53,39.95",0,6
"116.28,40.16",0,4
"116.41,39.95",1,108
"116.74,39.88",0,4
"116.29,39.92",1,202
"116.48,39.99",0,220
"116.64,40.13",1,259
"116.36,40.11",0,37
"116.14,39.73",0,184
"116.45,39.89",0,104
"116.33,39.90",0,140
"116.34,40.08",0,112
"116.39,40.00",1,129
"116.46,39.72",0,1
"116.34,39.93",1,241
"116.34,39.82",0,67
"116.43,40.03",0,106
"117.14,40.14",0,0
"116.22,40.26",0,2
"116.54,39.75",0,38
"116.42,39.94",0,268
"116.39,39.94",1,71
"116.41,39.97",1,400
"116.09,39.71",0,2
"116.65,39.91",0,66
"116.68,40.11",0,18
"116.32,40.03",0,30
"116.25,39.91",1,106
"116.48,39.93",0,155
"116.36,39.98",1,295
"116.48,39.97",1,240
"116.28,39.81",0,34
"116.03,40.34",0,9
"116.34,39.96",1,284
"116.33,39.87",0,137
"116.31,39.89",1,209
"116.36,39.89",0,194
"116.63,40.05",0,4
"116.49,39.96",0,67
"116.18,40.05",0,18
"116.28,39.90",0,48
"116.56,40.11",1,21
"116.01,40.35",0,16
"116.39,39.79",0,20
"116.16,40.18",0,5
"116.23,40.22",1,161
"116.71,39.96",0,2
"116.44,39.94",0,298
"116.47,39.90",0,184
"116.31,40.07",1,139
"116.36,39.88",0,145
"116.43,39.97",1,179
"116.45,39.88",0,217
"116.68,39.89",0,154
"116.39,40.01",1,36
"116.38,39.93",1,64
"116.44,39.96",0,231
"116.46,39.99",1,279
"116.29,39.87",1,217
"116.25,40.20",0,12
"116.36,39.83",0,116
"116.43,39.98",1,147
"116.34,40.04",0,129
"116.17,40.25",0,2
"116.23,40.23",0,91
"116.59,39.93",0,63
"116.44,39.97",1,291
"116.50,40.03",1,22
"116.36,39.80",0,5
"116.47,39.91",1,400
"116.26,39.93",0,43
"116.60,39.89",0,17
"115.97,40.44",0,0
"116.42,39.85",0,317
"116.82,40.49",0,2
"116.36,39.95",0,194
"116.50,40.00",0,21
"116.30,39.85",1,114
"116.68,39.88",0,54
"116.30,39.82",0,9
"116.43,39.88",0,108
"116.54,39.79",0,0
"116.19,39.93",0,88
"116.21,39.93",0,17
"116.50,39.92",1,108
"116.49,39.53",0,2
"116.41,40.05",1,101
"116.48,39.90",0,111
"116.44,39.92",0,400
"116.57,39.90",0,17
"116.28,39.86",0,117
"116.55,39.78",0,13
"116.24,40.21",0,82
"116.22,39.78",0,4
"116.38,39.89",1,154
"116.42,39.86",2,397
"116.47,40.00",0,341
"117.12,40.14",0,29
"116.53,39.96",0,11
"116.13,40.24",0,4
"116.04,39.97",0,2
"116.29,40.04",0,188
"116.31,39.99",1,289
"116.52,39.91",0,95
"116.37,39.76",0,17
"116.30,39.95",0,120
"116.49,39.77",0,9
"116.66,39.91",0,40
"116.44,39.99",1,23
"116.37,39.95",2,233
"116.29,39.89",0,192
"116.35,39.74",0,2
"116.56,39.89",0,0
"116.61,40.13",0,37
"116.36,39.74",0,9
"116.44,39.83",1,48
"116.27,39.85",0,22
"116.56,39.80",0,41
"116.36,40.00",1,101
"116.28,39.83",0,214
"116.37,39.94",0,152
"116.30,40.08",0,74
"116.72,39.96",0,2
"116.36,39.87",0,186
"116.22,40.18",0,16
"116.48,40.01",0,208
"116.24,39.89",0,48
"116.49,39.99",0,124
"116.43,39.85",0,400
"116.28,40.05",0,182
"116.56,40.10",0,3
"116.28,39.85",0,109
"116.22,39.93",1,65
"116.41,40.06",0,261
"116.39,39.86",2,297
"116.63,39.66",0,2
"116.36,39.99",0,204
"116.47,39.99",0,334
"116.26,39.91",0,138
"116.18,40.25",0,0
"116.56,40.15",0,0
"116.26,40.08",0,6
"116.21,39.76",1,29
"116.31,39.94",0,100
"116.34,39.76",0,97
"116.51,39.95",0,26
"116.46,39.89",1,254
"116.31,39.67",1,20
"116.46,39.94",1,155
"116.31,39.72",0,4
"116.36,40.01",0,158
"116.25,40.04",0,38
"116.53,39.92",0,77
"116.41,39.80",1,49
"116.33,40.07",1,96
"116.65,39.72",0,0
"116.41,40.09",0,70
"116.65,40.32",0,15
"116.27,39.96",0,187
"116.64,40.12",0,219
"116.45,39.95",0,228
"116.55,39.76",0,22
"116.29,39.95",1,130
"116.19,39.92",0,138
"116.50,40.18",0,0
"116.32,39.93",1,274
"116.42,40.05",0,36
"116.12,39.72",1,44
"116.31,40.10",1,14
"116.28,39.75",0,12
"116.58,39.80",0,16
"116.37,39.90",1,358
"116.57,39.91",1,60
"116.38,39.99",0,140
"116.39,39.97",1,190
"116.32,40.00",0,119
"116.53,40.01",0,12
"116.34,39.97",1,272
"116.47,39.87",1,156
"116.51,40.10",0,0
"116.37,40.01",0,199
"116.68,39.95",0,0
"116.28,40.15",1,67
"116.35,39.96",0,197
"116.35,39.94",1,282
"116.47,39.97",0,65
"116.28,40.03",0,81
"116.54,39.73",0,15
"116.56,39.94",0,35
"116.29,40.07",0,8
"116.52,39.92",0,148
"116.40,40.03",0,53
"116.53,40.09",0,22
"116.39,39.78",0,0
"116.46,39.92",2,239
"116.29,39.82",1,116
"116.28,39.89",0,166
"116.33,39.76",1,124
"116.37,40.00",0,160
"116.48,40.00",1,238
"116.38,39.87",0,111
"116.14,40.25",0,2
"116.34,39.89",0,272
"116.33,39.97",1,345
"116.60,39.93",0,17
"116.29,40.13",1,0
"116.40,39.96",0,400
"116.42,39.92",0,247
"116.59,39.92",1,76
"116.36,39.94",1,207
"116.37,39.85",1,153
"116.46,40.02",1,71
"116.12,39.90",1,14
"116.25,40.11",0,0
"116.48,39.92",0,288
"116.31,39.93",1,184
"116.35,40.04",1,75
"116.35,39.87",0,110
"116.38,39.91",0,20
"116.17,39.85",0,0
"116.28,39.96",1,315
"116.58,39.93",0,18
"116.30,39.98",0,400
"116.41,39.96",1,249
"116.36,40.03",0,24
"116.43,39.72",0,5
"116.51,39.77",0,7
"116.42,39.89",0,223
"116.60,40.13",1,30
"116.58,39.89",0,8
"116.33,39.75",1,71
"116.49,40.01",0,9
"116.32,39.99",0,313
"116.39,39.89",1,99
"116.49,39.91",1,154
"116.54,39.95",0,45
"116.41,39.88",1,51
"116.41,40.10",0,33
"116.43,39.99",0,89
"116.12,40.24",0,12
"116.49,39.89",1,71
"116.39,40.18",0,35
"116.27,40.04",0,48
"116.09,39.94",0,59
"116.19,39.87",0,40
"116.17,39.73",0,6
"116.29,40.05",0,285
"116.30,39.94",0,245
"116.41,39.98",1,298
"116.32,39.91",1,94
"116.43,39.90",0,190
"116.31,39.85",0,140
"116.17,40.06",0,51
"116.56,39.74",0,19
"116.61,39.75",0,0
"116.21,40.06",0,0
"116.46,39.91",0,188
"116.26,40.01",1,42
"116.41,39.54",0,0
"116.30,39.96",0,329
"116.38,39.90",1,140
"116.36,40.07",0,52
"116.40,39.97",0,378
"116.44,39.81",0,46
"116.28,39.93",0,157
"116.40,39.84",0,97
"116.46,39.88",1,224
"116.56,40.05",0,78
"116.24,39.85",0,10
"116.36,39.96",0,270
"116.37,39.78",0,6
"116.25,39.93",2,57
"116.29,39.99",0,127
"116.20,39.97",0,3
"116.34,40.09",1,42
"116.46,39.97",0,80
"116.64,39.89",1,148
"116.42,39.99",0,294
"116.03,39.90",0,4
"116.48,39.91",0,229
"116.21,40.09",0,3
"116.43,39.96",1,216
"116.37,39.88",1,178
"116.41,39.81",0,6
"116.48,39.96",1,62
"116.38,40.05",0,2
"116.29,39.88",0,95
"116.20,40.00",0,7
"116.28,40.14",0,92
"116.41,40.08",1,59
"116.32,40.01",0,56
"116.65,40.11",0,172
"116.70,40.56",0,0
"115.98,40.36",0,27
"116.40,40.07",0,139
"116.29,40.09",1,27
"116.40,40.05",0,147
"116.43,39.91",1,400
"116.59,40.21",0,0
"116.40,39.87",0,25
"116.69,39.93",0,30
"116.48,39.76",0,31
"116.44,39.89",1,175
"116.45,39.98",0,118
"116.22,39.95",0,87
"116.20,39.86",1,0
"116.50,39.86",0,75
"116.41,39.93",1,111
"116.21,40.03",0,4
"116.43,39.95",0,181
"116.86,40.37",0,32
"116.54,39.88",0,13
"116.42,40.08",0,60
"116.17,39.92",1,42
"116.33,40.00",1,246
"116.20,40.02",0,0
"116.12,40.07",1,4
"116.27,39.99",0,3
"116.36,39.81",1,25
"116.44,39.91",1,258
"116.42,39.82",0,7
"116.34,39.78",0,17
"116.62,40.18",0,0
"116.33,39.82",0,71
"116.25,39.92",0,132
"116.24,39.90",0,122
"116.49,39.86",0,40
"116.40,39.71",0,7
"116.23,39.90",0,127
"116.49,39.97",0,97
"116.44,39.80",0,29
"116.37,39.84",1,210
"116.49,40.04",0,15
"116.30,40.07",0,75
"116.26,40.17",0,6
"116.55,39.92",0,53
"116.48,39.94",0,43
"116.25,39.94",0,14
"116.50,39.87",1,72
"116.50,39.90",0,160
"116.53,40.04",1,12
"116.26,40.12",0,12
"116.46,40.00",1,400
"116.33,39.74",1,105
"116.41,40.00",1,248
"116.29,39.93",1,66
"116.54,39.96",0,26
"116.31,39.90",0,223
"116.54,39.91",0,44
"115.84,39.70",0,0
"116.38,40.10",0,12
"116.42,39.84",1,183
"116.33,39.91",1,214
"116.29,39.96",1,281
"116.30,39.92",0,177
"116.30,39.97",1,400
"116.64,40.29",0,13
"116.37,40.03",0,52
"116.84,40.38",0,88
"116.63,40.13",0,94
"116.25,40.21",0,65
"116.30,39.93",1,226
"116.51,39.94",0,15
"116.40,39.80",1,7
"116.33,39.89",1,349
"116.33,40.01",0,22
"115.75,39.62",0,0
"116.40,40.01",0,41
"116.36,40.08",1,115
"116.79,40.35",0,38
"116.62,40.32",0,60
"116.23,40.05",0,5
"117.10,40.14",0,62
"116.36,40.10",0,75
"116.62,40.03",0,19
"116.34,39.67",0,0
"116.43,40.05",0,79
"116.01,39.70",1,13
"117.10,40.15",0,44
"116.40,39.89",1,251
"116.21,40.10",0,2
"116.38,39.95",0,163
"115.54,39.71",0,1
"116.60,39.92",0,74
"116.41,39.89",1,304
"116.35,39.86",0,87
"116.34,40.03",0,124
"116.47,40.18",0,0
"116.55,39.90",0,38
"116.54,39.76",0,46
"116.24,39.59",0,0
"116.22,40.19",0,26
"116.32,39.87",0,179
"116.53,39.85",1,9
"116.26,40.10",0,40
"116.27,40.03",1,79
"116.35,39.89",1,242
"116.50,39.94",0,65
"116.30,39.50",0,2
"116.51,40.00",0,17
"116.57,40.06",0,118
"116.32,39.88",0,400
"116.32,40.04",0,76
"116.50,39.82",0,20
"116.36,40.04",0,37
"116.49,39.81",0,37
"116.21,39.77",0,10
"116.48,39.75",0,5
"116.30,39.56",0,0
"116.45,39.83",1,26
"116.67,39.94",0,29
"116.23,40.21",0,127
"116.06,39.64",0,12
"116.30,39.89",0,218
"116.56,39.78",1,20
"116.43,40.07",0,155
"116.42,40.15",0,9
"116.29,40.41",0,0
"116.46,39.90",0,269
"116.36,39.93",0,135
"116.43,39.86",1,303
"116.41,39.99",1,261
"116.45,39.85",1,27
"116.18,39.90",0,20
"116.69,40.13",0,2
"116.29,40.02",0,78
"116.53,39.80",0,40
"116.46,39.82",0,15
"116.29,40.15",0,68
"116.17,39.72",1,6
"116.44,39.85",0,199
"116.33,39.50",0,1
"116.15,39.81",0,45
"116.34,39.77",0,15
"116.24,40.20",0,49
"116.40,39.76",0,17
"116.21,40.23",0,17
"116.67,40.41",0,2
"117.26,40.65",0,12
"116.39,40.02",0,33
"116.56,39.91",0,48
"116.29,39.83",1,189
"116.51,39.86",1,35
"116.68,39.94",0,16
"116.47,39.95",0,204
"116.42,40.12",0,37
"116.27,39.72",0,5
"116.26,40.13",0,11
"116.34,40.02",0,38
"116.64,39.92",0,27
"116.48,39.88",0,72
"116.30,39.87",0,127
"116.07,40.29",0,33
"116.33,40.08",0,173
"116.35,39.95",0,244
"116.40,40.00",1,313
"116.46,40.01",1,387
"116.65,39.83",0,9
"116.65,39.89",1,118
"116.26,40.09",0,0
"116.50,39.98",0,36
"116.23,40.07",1,67
"116.20,40.16",0,2
"116.32,39.71",0,5
"116.33,39.81",0,22
"116.45,40.00",0,148
"116.34,39.80",0,30
"116.63,39.88",0,53
"116.27,39.89",0,145
"116.12,39.92",0,6
"116.54,39.93",0,22
"116.38,40.00",0,141
"116.50,40.02",0,28
"116.21,40.16",0,3
"116.24,39.98",1,37
"116.26,39.85",0,56
"116.18,39.87",0,12
"116.50,39.78",0,14
"116.46,39.87",1,203
"116.93,40.54",0,0
"116.54,39.92",0,30
"116.41,40.02",0,75
"116.80,40.12",0,0
"116.17,39.93",0,17
"116.41,39.84",1,208
"116.32,39.92",1,55
"116.55,39.83",0,14
"116.35,39.81",0,9
"116.52,40.02",0,60
"116.32,39.84",0,79
"116.47,40.03",1,46
"116.53,40.10",0,30
"116.21,40.22",0,46
"116.18,39.94",0,27
"116.32,40.05",0,97
"116.37,40.17",0,10
"116.48,39.80",0,92
"116.38,40.08",0,25
"116.25,39.90",0,60
"116.30,39.86",2,214
"116.11,39.91",0,47
"116.26,39.96",0,18
"116.65,39.87",0,22
"116.40,40.13",0,5
"116.45,40.03",0,13
"116.31,39.79",0,19
"116.31,39.92",0,122
"116.63,40.31",0,185
"116.39,39.82",0,10
"116.31,39.75",0,25
"116.38,39.98",1,245
"116.45,39.94",0,110
"116.68,40.35",0,6
"116.38,39.75",0,4
"116.65,40.12",0,132
"116.31,39.70",0,12
"116.24,40.09",0,2
"116.34,40.34",0,0
"116.60,40.00",0,0
"116.27,40.05",0,23
"116.35,39.83",0,34
"116.18,39.92",0,49
"116.25,39.86",1,42
"116.61,39.72",0,3
"116.34,39.90",0,208
"116.21,39.80",0,3
"116.42,40.00",0,156
"116.32,39.77",1,40
"116.39,39.95",1,184
"116.26,39.87",0,31
"116.02,40.36",0,9
"116.20,40.24",1,2
"116.49,39.93",0,147
"116.67,39.88",0,77
"116.33,40.03",0,126
"116.33,40.05",0,122
"116.06,39.69",0,2
"116.53,39.90",0,38
"116.60,40.11",0,75
"116.28,39.78",0,10
"116.35,39.85",0,117
"116.52,39.87",0,31
"116.40,40.12",0,1
"116.59,39.90",0,14
"116.67,39.87",1,26
"116.23,39.97",0,12
"116.63,39.99",0,7
"116.32,39.75",0,59
"116.35,39.98",1,250
"116.44,40.03",0,100
"116.56,40.06",0,32
"116.15,39.73",0,23
"116.29,39.78",0,18
"116.68,40.13",1,9
"116.41,39.86",0,123
"116.26,39.88",0,75
"116.23,40.04",0,23
"116.64,39.90",0,55
"116.43,39.78",0,5
"116.70,39.72",0,1
"116.11,39.93",0,86
"116.55,40.01",0,20
"116.23,40.16",0,8
"116.28,40.23",0,0
"116.28,39.87",0,158
"116.49,39.78",0,99
"116.36,40.05",0,2
"116.64,39.88",0,56
"116.36,39.76",0,8
"116.14,39.74",0,53
"116.37,39.99",0,120
"116.17,39.91",0,51
"116.58,40.07",0,46
"116.48,40.21",0,1
"116.39,39.81",0,22
"116.66,39.87",0,68
"116.54,40.10",0,69
"117.27,40.65",0,11
"116.54,39.81",0,23
"116.10,39.92",0,0
"116.62,39.83",0,10
"116.28,40.04",0,121
"116.66,39.88",1,131
"116.17,40.05",0,26
"116.58,40.14",0,0
"116.59,39.94",0,2
"116.42,39.87",0,156
"116.81,39.71",0,1
"116.11,39.86",0,3
"116.29,40.00",1,30
"116.35,39.77",0,7
"116.44,40.04",0,21
"116.33,39.88",0,209
"116.47,40.01",0,286
"116.26,40.22",1,53
"116.22,39.90",0,106
"116.60,40.46",0,0
"115.99,40.46",0,15
"116.54,39.90",0,46
"116.53,39.93",0,10
"116.55,39.85",0,23
"117.25,40.63",0,14
"116.74,40.13",0,0
"116.26,40.16",0,4
"116.18,40.04",0,23
"116.23,39.83",0,20
"116.50,39.96",0,53
"116.43,39.87",0,200
"116.66,40.39",0,25
"116.18,39.73",1,7
"116.58,40.32",0,0
"116.22,40.21",0,73
"116.80,39.87",0,0
"116.39,40.11",0,12
"116.34,40.07",0,71
"116.38,39.92",0,58
"116.47,39.86",0,116
"116.22,40.29",0,21
"116.24,40.19",0,10
"116.64,40.33",0,94
"116.20,39.81",0,17
"116.29,39.81",1,37
"116.42,40.03",0,61
"116.24,39.86",0,22
"116.10,40.05",0,4
"116.43,39.81",0,19
"116.17,39.74",0,5
"116.19,39.94",0,103
"116.25,39.88",0,23
"116.57,39.88",0,1
"116.46,40.11",0,0
"115.99,40.35",0,5
"116.37,40.10",0,33
"116.52,39.90",0,26
"116.25,39.98",0,35
"116.35,39.76",0,47
"116.30,39.81",1,4
"116.13,39.73",0,149
"116.55,39.87",0,22
"116.52,39.79",0,13
"116.15,39.71",0,1
"116.18,39.83",0,9
"116.27,39.95",0,193
"116.47,39.88",1,120
"116.32,40.07",0,111
"116.29,39.67",0,0
"116.72,39.93",0,6
"116.45,40.02",0,33
"116.24,39.91",0,98
"116.32,39.76",0,94
"116.60,40.20",0,0
"116.32,40.09",1,17
"116.34,39.81",0,32
"116.58,40.00",0,3
"116.35,39.48",0,0
"116.63,39.86",0,2
"116.20,39.93",1,84
"116.65,39.92",0,43
"116.47,39.94",1,121
"116.35,40.10",0,3
"116.24,40.30",0,20
"116.32,40.06",0,179
"116.38,39.86",0,204
"116.07,39.72",1,4
"116.69,39.89",0,38
"116.60,39.76",0,12
"116.37,40.11",0,21
"116.51,40.03",0,7
"116.72,39.95",0,4
"116.10,39.89",0,12
"116.31,39.91",0,118
"115.85,39.70",0,0
"116.58,39.92",0,78
"116.33,39.79",0,37
"116.51,40.04",0,18
"116.29,39.77",0,4
"116.49,40.02",1,5
"116.16,39.71",0,4
"116.04,39.80",0,0
"116.62,39.99",0,0
"116.22,40.12",0,6
"116.65,39.65",0,0
"116.23,40.00",0,7
"116.65,40.17",0,50
"116.18,39.86",1,13
"116.42,40.13",0,17
"116.29,39.84",1,113
"116.42,40.16",0,7
"116.54,39.87",0,29
"116.26,40.02",0,70
"116.30,40.18",0,0
"116.24,40.18",0,0
"116.59,40.05",0,51
"116.07,39.66",0,12
"116.31,39.86",0,55
"116.35,40.09",0,21
"116.27,39.97",0,22
"116.53,40.24",0,14
"116.07,39.71",0,3
"116.66,40.11",0,86
"116.69,39.87",0,84
"116.83,39.80",0,13
"116.33,39.72",1,65
"116.09,40.10",0,13
"116.38,40.11",0,2
"116.28,40.02",1,35
"116.58,39.91",0,88
"116.19,40.22",0,19
"116.33,39.69",0,4
"116.43,40.02",0,66
"116.36,39.82",0,5
"116.32,39.83",0,55
"116.57,39.86",0,20
"116.34,39.74",0,23
"116.45,39.80",0,107
"116.33,39.73",1,179
"116.55,40.13",0,0
"116.18,39.91",2,96
"116.65,39.88",0,9
"116.42,39.91",0,400
"116.35,39.72",0,19
"116.67,39.93",0,56
"116.73,40.14",0,2
"116.66,39.96",0,5
"115.89,39.80",0,2
"116.33,39.92",0,74
"116.47,39.98",0,192
"116.47,39.80",1,25
"116.28,40.00",0,28
"116.11,39.96",0,4
"116.63,39.89",0,67
"116.57,39.79",0,9
"116.26,39.92",0,42
"116.37,39.83",0,63
"116.27,39.94",0,167
"116.47,39.84",0,51
"116.19,39.96",0,0
"116.61,40.12",0,66
"116.09,39.73",1,1
"116.59,40.04",0,40
"116.18,39.75",1,8
"116.63,40.14",0,18
"116.26,39.90",0,90
"116.28,39.94",0,177
"116.18,40.22",0,0
"116.39,40.09",0,0
"116.31,39.76",0,52
"116.15,40.13",0,10
"116.52,39.78",1,65
"116.41,40.04",1,268
"116.60,39.88",0,4
"116.54,40.01",0,16
"116.56,39.98",0,0
"116.24,40.07",0,37
"116.34,39.87",0,249
"116.28,39.97",0,27
"116.35,39.75",0,6
"116.41,39.85",0,153
"116.33,39.96",0,286
"116.16,39.76",0,117
"116.54,39.72",0,2
"116.63,40.06",0,5
"116.70,39.83",0,2
"116.09,39.65",0,0
"116.28,40.01",0,13
"116.19,40.00",0,14
"116.23,40.19",0,38
"116.31,40.05",0,40
"116.51,39.79",1,127
"116.03,39.71",1,7
"116.60,39.96",0,2
"116.25,39.77",0,0
"115.97,40.46",0,74
"116.11,39.94",0,29
"116.16,39.93",0,32
"116.61,39.88",0,0
"116.51,40.01",0,6
"116.34,40.05",0,54
"116.35,40.06",0,55
"116.74,39.90",1,5
"116.53,39.89",0,2
"116.43,39.61",0,4
"116.24,40.04",0,89
"116.45,39.99",0,261
"116.04,39.96",0,0
"116.72,40.04",0,0
"116.46,39.84",0,60
"116.35,39.67",0,10
"116.32,40.11",0,0
"116.47,39.85",0,41
"116.60,40.15",0,0
"116.68,39.91",0,63
"116.34,39.85",0,92
"116.41,40.14",0,0
"116.55,40.08",1,24
"116.42,39.96",0,259
"116.57,40.13",0,0
"116.37,40.04",0,11
"116.49,39.85",0,2
"116.21,40.07",1,0
"116.36,40.18",0,8
"116.26,40.14",0,10
"116.26,39.99",0,5
"116.09,39.79",0,2
"116.64,39.94",0,4
"116.78,39.85",0,0
