o,tube_stops_o,car_prob_o
"116.30,39.99",0,191
"116.46,39.88",1,254
"116.20,40.14",0,38
"116.31,39.96",0,400
"116.32,39.58",0,15
"116.37,40.03",0,319
"116.55,39.76",0,92
"116.32,39.83",0,400
"115.95,40.37",0,97
"116.59,39.70",0,7
"116.15,39.65",0,137
"116.21,39.91",1,94
"116.19,39.68",0,107
"116.31,39.85",0,173
"116.27,40.11",0,27
"116.22,40.12",0,3
"116.66,39.93",0,162
"116.55,39.89",0,60
"116.34,39.83",0,52
"116.13,40.06",0,10
"116.47,39.93",1,40
"116.42,40.08",0,71
"116.49,39.88",0,18
"115.97,40.47",0,7
"116.52,40.06",0,11
"116.37,40.02",1,191
"116.30,40.00",1,54
"115.98,39.70",1,388
"116.36,39.81",1,89
"116.65,40.09",0,154
"116.41,39.87",0,42
"116.63,39.97",0,24
"116.62,39.90",0,40
"116.37,39.96",0,33
"116.68,39.91",0,400
"116.43,40.13",0,9
"116.47,39.90",0,77
"116.48,39.87",0,152
"116.39,40.02",0,190
"116.53,40.24",0,16
"116.39,40.17",0,232
"116.13,39.72",1,254
"116.70,39.83",0,70
"116.34,39.80",0,161
"116.65,40.21",0,78
"116.35,40.09",0,50
"116.04,39.88",0,274
"116.32,39.93",1,15
"115.76,39.62",0,0
"116.31,39.69",0,237
"116.66,40.20",0,37
"116.32,40.13",0,332
"116.04,39.59",0,209
"116.36,40.10",0,92
"116.37,40.08",0,92
"116.58,39.79",1,192
"116.26,39.97",0,185
"116.27,39.96",0,5
"116.43,39.84",0,324
"116.30,40.09",0,141
"116.62,40.03",0,14
"116.31,39.88",0,367
"116.42,40.05",0,60
"117.11,40.15",0,40
"116.33,39.92",0,121
"116.48,39.79",0,129
"116.30,39.75",0,117
"116.21,40.17",0,0
"116.53,39.75",0,30
"116.21,39.90",0,1
"116.27,40.02",0,400
"116.70,39.89",0,193
"116.59,39.92",1,62
"116.57,39.86",0,47
"116.47,40.17",0,0
"116.73,40.13",0,26
"116.57,39.77",0,31
"116.38,39.95",0,1
"116.32,39.69",1,14
"116.29,39.90",0,98
"116.51,39.87",0,52
"116.48,40.14",0,183
"116.50,39.91",0,195
"116.32,39.92",1,80
"116.30,40.21",0,190
"116.30,39.85",1,27
"116.43,39.99",0,400
"116.09,39.65",0,400
"116.55,40.08",1,191
"116.25,39.97",0,247
"116.51,40.00",0,19
"116.42,39.82",0,167
"116.19,39.67",0,63
"116.56,39.78",1,32
"116.42,40.04",0,311
"116.63,40.06",0,400
"116.50,39.83",0,30
"116.00,39.72",0,23
"116.41,39.84",1,9
"116.45,39.79",0,90
"116.17,39.74",0,13
"116.42,39.80",0,5
"116.48,39.56",0,0
"116.09,39.96",0,400
"116.32,39.98",1,0
"116.49,39.79",0,40
"116.65,40.12",0,148
"116.25,39.95",0,193
"116.45,39.84",0,26
"116.31,39.92",0,215
"116.28,40.16",0,190
"116.12,40.17",0,138
"116.23,39.85",0,21
"116.27,39.72",0,7
"116.72,40.24",0,191
"116.42,39.95",0,132
"116.27,39.89",0,141
"116.38,39.88",0,11
"116.28,39.89",0,400
"116.51,40.10",0,133
"116.60,40.11",0,148
"116.25,39.92",0,98
"116.46,39.87",1,74
"117.07,40.28",0,60
"116.50,39.98",0,355
"116.35,39.82",0,143
"116.33,39.90",0,304
"116.18,39.92",0,101
"116.31,39.75",0,123
"116.42,39.85",0,400
"116.15,39.76",0,49
"116.67,39.89",0,232
"116.68,40.13",1,90
"116.45,40.02",0,118
"116.66,40.00",0,400
"116.34,39.87",0,400
"116.64,39.84",0,191
"116.41,39.94",1,92
"116.34,39.79",0,20
"116.40,39.94",0,166
"116.26,40.05",0,176
"116.35,39.90",0,77
"116.50,39.80",1,400
"116.27,40.03",1,2
"116.27,40.16",1,37
"116.49,39.95",0,260
"116.39,40.27",0,22
"116.30,40.11",0,126
"116.49,39.62",0,355
"115.93,40.41",0,276
"116.35,39.95",0,173
"116.32,40.07",0,8
"116.30,40.04",0,400
"116.20,40.13",0,90
"116.49,39.78",0,400
"116.46,39.96",0,314
"116.41,40.05",1,140
"116.42,40.00",0,146
"116.33,39.77",0,191
"116.45,39.80",0,146
"116.49,39.90",0,306
"116.19,39.92",0,297
"116.53,39.92",0,106
"116.22,39.77",0,157
"116.49,39.86",0,109
"116.47,39.59",0,400
"116.20,40.15",0,2
"116.37,39.79",0,166
"116.52,39.87",0,22
"116.26,39.92",0,30
"116.36,39.88",0,84
"116.12,39.92",0,5
"116.37,39.89",1,57
"116.33,39.76",1,160
"116.74,40.14",0,23
"116.50,39.77",0,103
"116.27,39.85",0,44
"116.38,40.07",0,190
"116.28,39.80",0,27
"116.52,39.93",0,110
"116.62,39.91",0,23
"116.10,39.91",0,191
"116.32,39.64",0,53
"116.38,40.00",0,137
"116.34,39.84",0,153
"116.56,39.89",0,400
"116.26,40.16",0,190
"116.38,39.94",0,173
"116.50,39.97",0,11
"116.14,39.75",0,137
"116.31,40.11",1,126
"116.21,40.23",0,8
"116.46,39.86",0,83
"116.56,40.00",0,39
"116.73,40.12",0,191
"116.49,39.82",0,276
"116.65,39.89",1,28
"116.16,39.72",0,173
"116.44,40.02",0,55
"116.31,39.86",0,11
"116.73,40.29",0,244
"116.50,39.78",0,67
"116.16,40.07",1,314
"116.29,39.86",0,176
"116.00,39.69",0,38
"116.39,39.68",0,244
"116.59,40.04",0,70
"116.55,39.92",0,388
"116.38,40.10",0,8
"116.48,39.86",0,400
"116.36,39.95",0,246
"116.16,39.93",0,56
"116.32,39.73",0,77
"116.55,40.03",0,152
"116.27,40.00",1,13
"116.52,39.86",1,297
"116.68,39.90",1,230
"116.45,39.67",0,16
"116.10,39.74",0,200
"116.29,40.14",0,73
"116.32,39.62",0,7
"116.61,39.91",1,400
"116.11,39.68",0,400
"116.48,39.74",0,3
"116.24,40.08",0,2
"116.12,40.13",0,0
"116.58,40.07",0,111
"116.46,40.01",1,103
"116.62,39.87",0,27
"116.67,39.66",0,37
"116.24,40.04",0,124
"116.40,39.90",0,29
"116.26,39.87",0,27
"116.36,39.76",0,0
"116.22,40.29",0,4
"116.69,39.87",0,34
"116.23,39.93",0,113
"116.54,39.80",0,129
"116.13,39.73",0,34
"116.67,39.86",0,400
"116.06,39.65",0,166
"116.34,39.72",0,174
"116.53,40.09",0,151
"116.34,40.05",0,105
"116.16,39.74",0,400
"116.37,39.70",0,10
"116.65,39.90",0,237
"116.31,40.00",0,40
"116.50,39.95",0,11
"116.43,40.05",0,37
"116.33,39.80",0,15
"116.47,39.94",1,190
"116.22,40.21",0,400
"116.35,40.11",0,121
"116.62,40.30",0,19
"116.45,39.98",0,400
"116.51,39.89",0,17
"116.74,40.06",0,220
"116.35,39.67",0,0
"116.30,40.06",0,55
"116.44,39.86",0,291
"116.53,39.93",0,93
"116.60,39.92",0,151
"116.33,40.03",0,94
"116.25,39.87",0,52
"116.18,39.90",0,400
"116.25,40.01",0,34
"116.33,40.05",0,165
"116.28,39.95",0,166
"116.53,39.81",0,40
"116.61,39.83",0,4
"116.22,40.10",0,42
"116.55,40.01",0,22
"116.24,40.16",0,7
"116.43,39.81",0,120
"116.35,39.76",0,78
"116.56,39.82",0,166
"116.40,40.18",0,24
"116.29,39.85",1,400
"116.22,39.91",0,96
"116.27,40.01",0,99
"116.27,40.10",0,288
"116.49,40.10",0,1
"116.53,39.90",0,15
"116.36,39.92",0,44
"116.49,40.09",0,61
"116.60,40.04",0,178
"116.37,40.07",0,7
"116.52,39.80",0,17
"116.65,39.84",0,8
"116.50,40.04",0,292
"116.38,39.85",0,0
"116.28,39.91",0,63
"116.37,40.10",0,9
"116.48,40.05",0,244
"116.23,39.91",1,166
"116.40,40.08",0,40
"116.26,39.85",0,3
"116.44,39.98",0,166
"116.13,40.24",0,3
"116.51,40.26",0,77
"116.50,39.81",0,11
"116.49,39.94",0,153
"116.30,40.15",0,36
"116.56,40.05",0,0
"116.22,39.95",0,296
"115.99,40.42",0,23
"116.58,39.97",0,12
"116.53,40.10",0,184
"116.32,40.09",1,76
"116.51,39.98",0,319
"116.58,39.76",0,252
"116.33,39.95",0,103
"116.65,39.69",0,166
"116.51,40.11",0,306
"116.83,40.39",0,21
"116.66,40.13",0,20
"116.23,40.20",0,57
"116.27,40.15",0,0
"116.49,40.02",1,24
"116.43,40.01",0,169
"116.47,40.02",0,7
"116.26,40.17",0,20
"116.67,40.36",0,82
"116.19,39.93",0,102
"116.57,39.90",0,314
"116.32,39.87",0,24
"116.17,39.71",0,67
"116.61,39.96",0,73
"116.31,39.72",0,87
"116.27,39.84",0,27
"116.53,39.88",0,166
"116.36,40.11",0,27
"116.09,39.68",0,200
"116.20,40.24",1,20
"116.49,39.96",0,138
"116.32,40.05",0,123
"116.64,39.92",0,377
"116.42,39.79",0,186
"116.19,39.83",0,6
"116.50,39.89",1,200
"116.49,39.92",0,5
"116.28,39.97",0,0
"116.57,39.96",0,5
"116.64,40.31",0,400
"116.17,39.73",0,61
"116.26,40.03",0,400
"116.48,39.99",0,113
"116.56,39.93",0,311
"116.63,39.89",0,103
"116.39,39.88",1,191
"116.54,39.91",0,191
"117.10,40.14",0,166
"116.38,40.06",0,13
"116.60,39.93",0,13
"116.32,39.67",0,80
"116.33,39.73",1,28
"116.42,40.01",0,190
"116.74,39.90",1,1
"116.65,40.10",0,145
"116.17,39.92",1,62
"116.62,40.12",0,33
"116.21,39.87",0,110
"116.20,40.20",0,246
"116.39,39.70",0,33
"116.57,39.88",0,182
"116.41,40.10",0,11
"116.02,39.67",0,8
"116.77,39.68",0,11
"116.37,40.11",0,21
"116.66,40.12",0,74
"116.66,40.18",0,183
"116.52,39.85",0,66
"116.56,40.07",0,266
"116.82,40.04",0,2
"116.58,39.98",0,126
"116.26,40.08",0,166
"116.12,39.72",1,30
"116.28,39.99",0,11
"116.06,39.69",0,12
"115.87,39.66",0,0
"116.87,40.15",0,6
"116.20,40.04",0,66
"116.41,39.85",0,291
"116.33,39.85",0,92
"116.58,40.09",0,209
"116.51,39.76",0,72
"116.13,39.75",0,191
"116.25,40.07",0,7
"116.49,39.99",0,3
"116.32,39.63",0,1
"116.25,39.86",1,192
"116.14,39.81",0,40
"116.66,40.07",0,45
"116.50,40.00",0,191
"116.64,39.88",0,23
"115.96,40.45",0,27
"116.60,40.10",0,200
"116.47,39.83",0,37
"116.12,39.96",0,400
"116.84,40.38",0,60
"116.51,40.01",0,55
"116.17,39.76",0,10
"116.10,39.72",0,7
"116.37,39.71",0,84
"116.26,39.91",0,90
"116.68,39.87",1,57
"116.41,39.82",0,15
"116.61,39.90",1,60
"116.63,40.07",0,16
"116.12,40.23",0,73
"116.34,39.81",0,166
"116.70,40.14",0,9
"116.67,39.90",0,69
"116.20,39.92",0,214
"116.14,40.10",0,38
"116.33,39.69",0,7
"116.24,39.88",0,400
"117.00,40.06",0,45
"116.39,39.81",0,18
"116.42,39.96",0,400
"116.52,39.76",0,11
"116.38,40.16",0,56
"116.34,39.78",0,49
"116.34,39.67",0,101
"116.47,39.84",0,0
"116.28,40.08",0,43
"116.79,39.74",0,48
"116.44,39.77",1,68
"116.30,40.17",0,7
"116.17,39.84",0,58
"116.61,40.16",0,173
"116.58,40.06",0,90
"116.37,39.93",1,1
"116.54,40.00",0,112
"116.35,39.80",0,22
"116.34,39.77",0,13
"116.27,39.95",0,165
"116.10,39.93",0,2
"116.30,40.07",0,22
