o,bus_stops,tube_stops
"116.33,40.04",9.0,0.0
"116.42,39.84",14.0,1.0
"116.31,39.83",4.0,0.0
"116.30,39.98",12.0,0.0
"116.59,40.08",3.0,1.0
"116.27,39.75",1.0,0.0
"116.34,40.00",4.0,0.0
"116.28,39.92",7.0,0.0
"116.35,39.96",7.0,0.0
"116.66,39.88",5.0,1.0
"116.28,40.04",7.0,0.0
"116.42,39.92",3.0,0.0
"116.41,39.90",7.0,1.0
"116.39,39.98",8.0,2.0
"116.39,40.01",0.0,1.0
"116.45,39.96",4.0,1.0
"116.35,40.07",8.0,1.0
"116.69,39.83",0.0,0.0
"116.40,39.86",4.0,1.0
"116.41,40.07",7.0,2.0
"116.47,40.03",1.0,1.0
"116.43,39.76",9.0,0.0
"116.27,40.17",4.0,0.0
"116.36,39.89",6.0,0.0
"116.43,39.91",2.0,1.0
"116.41,39.98",6.0,1.0
"116.43,39.90",6.0,0.0
"116.33,39.72",6.0,1.0
"116.51,39.93",4.0,0.0
"116.69,40.13",8.0,0.0
"116.40,39.91",8.0,1.0
"116.35,39.99",4.0,0.0
"116.35,39.94",13.0,1.0
"116.32,39.84",0.0,0.0
"116.47,39.98",4.0,0.0
"116.43,39.92",4.0,1.0
"116.63,40.31",19.0,0.0
"116.45,39.86",2.0,1.0
"116.35,39.98",9.0,1.0
"116.40,39.97",8.0,0.0
"116.53,39.77",10.0,1.0
"116.41,39.89",13.0,1.0
"116.39,39.95",7.0,1.0
"116.59,39.91",6.0,1.0
"116.31,39.74",4.0,0.0
"116.41,40.03",7.0,1.0
"116.38,39.89",5.0,1.0
"116.47,39.77",2.0,0.0
"116.67,39.93",5.0,0.0
"116.32,40.00",0.0,0.0
"116.34,40.03",6.0,0.0
"116.35,40.00",3.0,1.0
"116.31,39.81",2.0,0.0
"116.43,39.93",6.0,1.0
"116.40,39.98",4.0,1.0
"116.30,39.93",10.0,1.0
"116.46,39.95",4.0,1.0
"116.75,39.94",1.0,0.0
"116.48,39.97",8.0,1.0
"116.20,39.93",3.0,1.0
"116.29,39.99",3.0,0.0
"116.23,40.17",0.0,0.0
"116.30,39.92",13.0,0.0
"116.47,39.89",6.0,1.0
"116.42,40.16",0.0,0.0
"116.29,39.92",4.0,1.0
"116.40,39.93",8.0,1.0
"116.52,40.03",1.0,0.0
"116.30,39.86",3.0,2.0
"116.42,39.88",4.0,0.0
"116.21,40.08",1.0,0.0
"116.31,39.97",4.0,1.0
"116.29,40.05",5.0,0.0
"116.38,39.90",6.0,1.0
"116.31,39.95",0.0,0.0
"116.40,39.92",9.0,1.0
"116.45,40.01",4.0,0.0
"116.34,40.07",9.0,0.0
"116.60,39.90",2.0,0.0
"116.50,39.93",7.0,0.0
"116.32,39.65",1.0,0.0
"116.45,39.93",4.0,0.0
"116.42,39.94",12.0,0.0
"116.40,39.82",4.0,0.0
"116.46,39.89",11.0,1.0
"116.19,39.95",2.0,0.0
"116.31,39.93",8.0,1.0
"116.41,39.86",6.0,0.0
"116.20,39.91",5.0,0.0
"116.52,39.90",2.0,0.0
"116.41,39.67",2.0,0.0
"116.33,40.10",2.0,0.0
"116.58,40.08",3.0,0.0
"116.34,39.89",5.0,0.0
"116.51,39.91",6.0,1.0
"116.35,39.97",6.0,1.0
"116.36,39.84",15.0,2.0
"116.33,39.94",8.0,1.0
"116.33,39.98",7.0,1.0
"116.64,39.89",9.0,1.0
"116.64,40.13",4.0,1.0
"116.34,39.76",8.0,0.0
"116.61,39.92",4.0,1.0
"116.46,39.90",7.0,0.0
"116.43,39.96",13.0,1.0
"116.33,39.99",10.0,1.0
"116.38,39.96",2.0,0.0
"116.43,39.89",4.0,1.0
"116.54,39.92",0.0,0.0
"116.38,39.84",8.0,1.0
"116.22,40.23",2.0,0.0
"116.38,39.87",4.0,0.0
"116.63,39.90",12.0,1.0
"116.31,39.82",3.0,0.0
"116.42,40.02",2.0,0.0
"116.21,39.76",8.0,1.0
"116.43,40.04",13.0,1.0
"116.33,39.93",8.0,0.0
"116.43,40.08",5.0,0.0
"116.40,39.96",7.0,0.0
"116.10,39.90",5.0,0.0
"116.40,40.05",4.0,0.0
"116.46,39.94",3.0,1.0
"116.16,39.76",3.0,0.0
"116.39,39.92",4.0,0.0
"116.57,40.06",1.0,0.0
"116.09,40.45",2.0,0.0
"116.31,39.67",15.0,1.0
"116.38,39.92",2.0,0.0
"116.45,39.89",5.0,0.0
"116.17,40.03",0.0,0.0
"116.20,39.99",3.0,1.0
"116.26,39.96",0.0,0.0
"116.31,39.84",5.0,1.0
"116.30,39.89",16.0,0.0
"116.56,40.01",2.0,0.0
"116.72,40.13",1.0,0.0
"116.32,40.04",6.0,0.0
"116.38,39.55",1.0,0.0
"116.49,39.89",4.0,1.0
"116.55,39.82",3.0,0.0
"116.57,39.92",2.0,1.0
"116.31,40.09",4.0,0.0
"116.38,39.86",6.0,0.0
"116.19,39.99",1.0,0.0
"116.46,39.93",13.0,1.0
"116.49,39.91",9.0,1.0
"116.44,39.92",6.0,0.0
"116.37,39.85",6.0,1.0
"116.33,39.81",2.0,0.0
"116.61,40.05",9.0,1.0
"116.32,39.74",11.0,0.0
"116.27,40.12",1.0,0.0
"116.31,40.03",8.0,1.0
"116.44,39.97",4.0,1.0
"116.31,39.98",8.0,1.0
"116.43,39.78",2.0,0.0
"116.44,39.95",13.0,0.0
"116.46,39.84",1.0,0.0
"116.26,39.90",8.0,0.0
"116.32,39.77",10.0,1.0
"116.81,40.36",7.0,0.0
"116.58,39.90",0.0,0.0
"116.36,39.99",6.0,0.0
"116.44,39.89",2.0,1.0
"116.21,39.84",0.0,0.0
"116.20,39.95",0.0,0.0
"116.30,39.94",9.0,0.0
"116.54,39.95",3.0,0.0
"116.48,39.92",3.0,0.0
"116.41,39.96",8.0,1.0
"116.39,39.96",9.0,1.0
"116.51,40.12",0.0,0.0
"116.45,39.90",4.0,0.0
"116.44,40.08",1.0,0.0
"116.69,39.91",4.0,0.0
"116.67,40.00",2.0,0.0
"116.32,39.85",7.0,0.0
"116.18,40.05",4.0,0.0
"116.43,40.09",6.0,0.0
"116.32,39.90",9.0,0.0
"116.26,39.99",0.0,0.0
"116.36,39.98",6.0,1.0
"116.30,39.91",9.0,1.0
"116.36,39.79",4.0,0.0
"116.43,39.85",5.0,0.0
"116.40,39.89",4.0,1.0
"116.28,40.17",0.0,0.0
"116.40,39.99",5.0,0.0
"116.61,40.12",3.0,0.0
"116.44,39.93",7.0,0.0
"116.22,39.85",2.0,0.0
"116.36,39.93",5.0,0.0
"116.48,39.89",2.0,1.0
"116.73,39.88",2.0,0.0
"116.68,39.65",0.0,0.0
"116.44,39.99",3.0,1.0
"116.31,39.89",7.0,1.0
"116.42,39.72",3.0,0.0
"116.45,39.88",7.0,0.0
"116.51,39.78",7.0,0.0
"116.35,39.93",6.0,1.0
"116.88,40.38",10.0,0.0
"116.63,39.66",6.0,0.0
"116.34,39.98",3.0,0.0
"116.24,39.95",2.0,0.0
"116.50,39.85",0.0,0.0
"116.44,39.88",5.0,0.0
"116.46,39.91",10.0,0.0
"116.30,39.82",1.0,0.0
"116.04,39.60",5.0,0.0
"116.68,40.11",3.0,0.0
"116.19,40.09",0.0,0.0
"116.38,40.08",6.0,0.0
"116.55,39.91",3.0,1.0
"116.30,39.83",2.0,0.0
"116.65,40.11",6.0,0.0
"116.48,39.96",4.0,1.0
"116.21,40.05",0.0,0.0
"116.09,39.89",2.0,1.0
"116.32,39.78",5.0,0.0
"116.45,39.87",17.0,1.0
"116.22,39.92",1.0,0.0
"116.18,39.93",10.0,1.0
"116.30,39.88",6.0,1.0
"116.15,40.21",2.0,0.0
"116.39,39.79",4.0,0.0
"116.24,40.20",5.0,0.0
"116.72,39.97",0.0,0.0
"116.67,40.11",12.0,0.0
"116.33,39.84",0.0,1.0
"116.38,40.01",0.0,0.0
"116.28,39.93",5.0,0.0
"116.55,39.79",5.0,0.0
"116.26,40.00",2.0,0.0
"116.42,39.97",5.0,0.0
"116.17,39.89",3.0,0.0
"116.65,39.81",3.0,0.0
"116.65,40.13",13.0,1.0
"116.70,39.86",1.0,0.0
"116.45,39.99",2.0,0.0
"116.70,40.10",1.0,0.0
"116.56,39.91",2.0,0.0
"116.32,39.99",2.0,0.0
"116.40,39.77",0.0,0.0
"116.24,40.22",10.0,0.0
"116.28,40.15",4.0,1.0
"116.37,39.84",5.0,1.0
"116.35,40.05",1.0,1.0
"116.19,40.24",2.0,1.0
"116.61,39.93",3.0,0.0
"116.49,39.97",3.0,0.0
"116.26,39.89",6.0,0.0
"116.36,40.00",9.0,1.0
"116.21,39.99",2.0,1.0
"116.23,40.23",11.0,0.0
"116.15,40.23",0.0,0.0
"116.82,40.48",4.0,0.0
"116.27,39.93",7.0,1.0
"116.47,39.91",20.0,1.0
"116.36,40.01",4.0,0.0
"116.44,39.94",7.0,0.0
"116.80,39.87",0.0,0.0
"116.43,39.86",11.0,1.0
"116.29,39.82",6.0,1.0
"116.87,39.81",5.0,0.0
"116.31,39.76",9.0,0.0
"116.56,39.79",5.0,0.0
"116.18,39.91",4.0,2.0
"116.47,40.01",9.0,0.0
"116.46,40.11",2.0,0.0
"116.47,39.97",8.0,0.0
"116.33,39.82",3.0,0.0
"116.47,39.88",5.0,1.0
"116.40,40.01",2.0,0.0
"116.45,39.97",5.0,0.0
"116.30,40.05",2.0,1.0
"116.36,39.86",6.0,0.0
"116.39,40.11",1.0,0.0
"116.32,39.97",6.0,2.0
"116.26,39.98",1.0,1.0
"116.34,39.88",8.0,0.0
"116.42,40.03",2.0,0.0
"116.66,39.89",8.0,0.0
"116.26,40.22",8.0,1.0
"116.36,40.07",5.0,0.0
"116.25,40.11",2.0,0.0
"116.17,39.81",1.0,0.0
"116.00,40.36",2.0,0.0
"116.48,39.93",4.0,0.0
"116.39,39.78",0.0,0.0
"116.44,39.96",5.0,0.0
"116.14,40.25",0.0,0.0
"116.25,39.93",5.0,2.0
"116.12,40.07",2.0,1.0
"116.21,40.12",4.0,0.0
"116.55,40.06",2.0,0.0
"116.52,39.81",6.0,0.0
"116.38,39.76",2.0,0.0
"116.29,39.91",7.0,1.0
"116.35,39.92",12.0,1.0
"116.56,39.92",4.0,1.0
"116.65,39.91",4.0,0.0
"116.56,39.85",6.0,0.0
"116.29,39.96",4.0,1.0
"116.65,39.92",8.0,0.0
"116.50,39.90",7.0,0.0
"116.26,39.88",6.0,0.0
"116.29,39.87",4.0,1.0
"116.37,40.06",1.0,0.0
"116.33,39.74",8.0,1.0
"116.29,39.84",5.0,1.0
"116.64,39.93",7.0,0.0
"116.34,39.93",6.0,1.0
"116.29,40.09",1.0,1.0
"116.40,40.04",5.0,0.0
"116.27,39.88",7.0,0.0
"116.29,39.89",5.0,0.0
"116.45,40.15",3.0,0.0
"116.34,39.92",11.0,0.0
"116.41,40.02",4.0,0.0
"116.39,40.00",2.0,1.0
"116.09,40.21",2.0,0.0
"116.13,40.14",7.0,0.0
"116.25,39.90",9.0,0.0
"116.41,40.00",6.0,1.0
"116.30,39.81",1.0,1.0
"116.44,39.84",3.0,1.0
"116.44,39.85",3.0,0.0
"116.47,39.87",9.0,1.0
"116.43,39.95",7.0,0.0
"116.14,39.73",12.0,0.0
"116.43,40.03",10.0,0.0
"116.41,40.06",7.0,0.0
"116.37,39.90",8.0,1.0
"116.68,39.93",9.0,0.0
"116.63,39.65",3.0,0.0
"116.51,39.94",5.0,0.0
"116.55,40.15",5.0,0.0
"116.58,39.77",5.0,0.0
"116.43,39.97",9.0,1.0
"115.97,39.67",0.0,0.0
"116.31,39.71",1.0,1.0
"116.49,39.87",3.0,1.0
"116.43,39.98",5.0,1.0
"116.53,39.80",6.0,0.0
"116.46,39.92",8.0,2.0
"116.28,39.96",6.0,1.0
"116.29,40.15",5.0,0.0
"116.42,39.89",7.0,0.0
"116.64,40.12",9.0,0.0
"116.29,39.94",13.0,0.0
"116.24,40.07",6.0,0.0
"116.57,39.91",5.0,1.0
"116.32,39.71",4.0,0.0
"116.55,39.96",5.0,0.0
"116.57,39.80",7.0,0.0
"116.32,39.94",6.0,1.0
"116.32,39.75",10.0,0.0
"116.37,39.87",10.0,0.0
"116.31,40.07",12.0,1.0
"116.39,39.97",5.0,1.0
"116.16,40.52",2.0,0.0
"116.56,40.06",7.0,0.0
"116.30,39.96",4.0,0.0
"116.34,39.82",2.0,0.0
"116.28,39.78",3.0,0.0
"116.52,39.91",8.0,0.0
"116.44,39.87",4.0,0.0
"116.41,40.09",0.0,0.0
"116.29,40.10",2.0,0.0
"116.35,39.84",4.0,1.0
"116.51,39.95",3.0,0.0
"116.51,39.82",3.0,0.0
"116.37,39.98",5.0,0.0
"116.29,40.04",6.0,0.0
"116.32,39.88",9.0,0.0
"116.72,40.20",5.0,0.0
"116.44,39.91",7.0,1.0
"116.41,39.97",7.0,1.0
"116.53,39.94",1.0,0.0
"116.48,39.88",7.0,0.0
"116.34,39.91",7.0,0.0
"116.40,40.00",19.0,1.0
"116.31,39.91",4.0,0.0
"116.22,40.22",8.0,0.0
"116.38,39.99",6.0,0.0
"116.24,40.21",17.0,0.0
"116.15,39.73",5.0,0.0
"116.53,39.85",2.0,1.0
"116.50,40.17",2.0,0.0
"116.71,39.96",7.0,0.0
"116.45,39.85",1.0,1.0
"116.40,40.03",5.0,0.0
"116.12,39.89",2.0,1.0
"116.06,39.66",3.0,0.0
"116.24,40.15",0.0,0.0
"116.29,39.93",5.0,1.0
"116.31,40.08",9.0,0.0
"116.33,39.96",4.0,0.0
"116.60,40.08",0.0,0.0
"116.59,40.05",7.0,0.0
"116.36,39.91",12.0,0.0
"116.56,40.02",1.0,0.0
"116.63,40.36",0.0,0.0
"116.29,39.95",5.0,1.0
"116.11,39.96",1.0,0.0
"116.28,40.02",2.0,1.0
"116.49,39.58",0.0,0.0
"116.07,39.65",3.0,0.0
"116.52,39.78",10.0,1.0
"116.24,39.86",2.0,0.0
"116.47,39.80",4.0,1.0
"116.32,39.96",3.0,1.0
"116.41,39.88",2.0,1.0
"116.33,39.75",9.0,1.0
"116.56,39.94",1.0,0.0
"116.33,40.07",8.0,1.0
"116.27,39.87",3.0,0.0
"116.30,39.90",3.0,1.0
"116.36,39.97",8.0,1.0
"116.31,40.01",2.0,0.0
"116.62,39.93",4.0,0.0
"116.42,39.87",8.0,0.0
"116.54,40.07",2.0,0.0
"116.35,40.17",2.0,0.0
"116.25,40.08",3.0,0.0
"116.55,40.07",9.0,1.0
"116.27,39.90",7.0,0.0
"116.13,40.10",5.0,0.0
"116.40,39.84",6.0,0.0
"116.38,39.98",10.0,1.0
"116.23,39.86",7.0,1.0
"116.29,40.03",4.0,0.0
"116.28,39.85",5.0,0.0
"116.16,40.06",2.0,0.0
"116.50,39.61",0.0,0.0
"116.56,39.90",4.0,0.0
"116.28,39.87",8.0,0.0
"116.21,40.06",1.0,0.0
"116.40,40.13",1.0,0.0
"116.36,39.96",6.0,0.0
"116.25,39.89",4.0,0.0
"116.28,40.05",6.0,0.0
"116.36,39.85",4.0,0.0
"116.41,39.79",5.0,0.0
"116.36,39.87",6.0,0.0
"116.28,40.03",2.0,0.0
"116.45,39.81",5.0,1.0
"116.53,39.91",1.0,1.0
"116.30,40.10",6.0,0.0
"116.34,40.04",5.0,0.0
"116.50,39.87",5.0,1.0
"116.28,39.83",9.0,0.0
"116.41,39.80",3.0,1.0
"116.15,39.81",8.0,0.0
"116.29,40.16",0.0,0.0
"116.27,39.80",0.0,0.0
"116.64,39.95",7.0,0.0
"116.33,40.08",13.0,0.0
"116.33,39.91",5.0,1.0
"116.24,39.91",4.0,0.0
"116.50,40.01",1.0,0.0
"116.48,39.91",5.0,0.0
"116.32,40.08",15.0,0.0
"116.68,39.94",6.0,0.0
"116.47,39.95",3.0,0.0
"116.29,40.02",3.0,0.0
"116.28,39.90",5.0,0.0
"116.44,39.90",1.0,0.0
"116.35,40.03",6.0,0.0
"116.61,40.06",0.0,0.0
"116.27,40.04",1.0,0.0
"116.35,39.85",11.0,0.0
"116.24,40.19",0.0,0.0
"116.01,40.35",2.0,0.0
"116.55,40.02",1.0,0.0
"116.39,39.85",2.0,1.0
"116.45,39.94",1.0,0.0
"116.57,40.09",0.0,0.0
"116.42,39.86",11.0,2.0
"116.36,39.94",4.0,1.0
"116.72,39.94",5.0,0.0
"116.35,39.86",3.0,0.0
"116.40,39.88",0.0,0.0
"116.60,40.05",3.0,0.0
"116.49,39.98",3.0,0.0
"116.27,39.86",1.0,1.0
"116.28,40.00",7.0,0.0
"116.22,39.93",6.0,1.0
"116.41,40.04",8.0,1.0
"116.68,39.92",1.0,0.0
"116.37,39.94",4.0,0.0
"116.73,39.93",2.0,0.0
"116.56,40.11",2.0,1.0
"116.34,40.01",7.0,0.0
"116.30,39.95",4.0,0.0
"116.52,39.88",3.0,0.0
"116.30,40.08",9.0,0.0
"116.17,40.06",0.0,0.0
"116.29,39.83",3.0,1.0
"116.42,39.93",5.0,0.0
"116.40,39.62",6.0,0.0
"116.85,40.37",21.0,0.0
"116.54,39.90",2.0,0.0
"116.28,40.14",3.0,0.0
"116.34,39.90",7.0,0.0
"116.25,39.98",3.0,0.0
"116.19,39.91",9.0,0.0
"116.33,40.01",2.0,0.0
"116.46,40.02",2.0,1.0
"116.50,39.79",8.0,0.0
"116.43,40.07",11.0,0.0
"116.20,40.02",0.0,0.0
"116.16,40.18",2.0,0.0
"116.32,39.95",4.0,0.0
"116.63,39.91",5.0,0.0
"116.32,40.02",0.0,0.0
"116.23,39.88",3.0,0.0
"116.30,39.99",4.0,0.0
"116.46,39.88",7.0,1.0
"116.20,40.14",2.0,0.0
"116.31,39.96",5.0,0.0
"116.32,39.58",2.0,0.0
"116.37,40.03",5.0,0.0
"116.55,39.76",3.0,0.0
"116.32,39.83",1.0,0.0
"115.95,40.37",0.0,0.0
"116.59,39.70",0.0,0.0
"116.15,39.65",2.0,0.0
"116.21,39.91",5.0,1.0
"116.19,39.68",0.0,0.0
"116.31,39.85",7.0,0.0
"116.27,40.11",2.0,0.0
"116.22,40.12",2.0,0.0
"116.66,39.93",0.0,0.0
"116.55,39.89",0.0,0.0
"116.34,39.83",2.0,0.0
"116.13,40.06",0.0,0.0
"116.47,39.93",9.0,1.0
"116.42,40.08",4.0,0.0
"116.49,39.88",2.0,0.0
"115.97,40.47",10.0,0.0
"116.52,40.06",1.0,0.0
"116.37,40.02",2.0,1.0
"116.30,40.00",0.0,1.0
"115.98,39.70",14.0,1.0
"116.36,39.81",3.0,1.0
"116.65,40.09",2.0,0.0
"116.41,39.87",13.0,0.0
"116.63,39.97",0.0,0.0
"116.62,39.90",0.0,0.0
"116.37,39.96",10.0,0.0
"116.68,39.91",4.0,0.0
"116.43,40.13",3.0,0.0
"116.47,39.90",14.0,0.0
"116.48,39.87",9.0,0.0
"116.39,40.02",0.0,0.0
"116.53,40.24",2.0,0.0
"116.39,40.17",5.0,0.0
"116.13,39.72",5.0,1.0
"116.70,39.83",3.0,0.0
"116.34,39.80",3.0,0.0
"116.65,40.21",8.0,0.0
"116.35,40.09",6.0,0.0
"116.04,39.88",0.0,0.0
"116.32,39.93",7.0,1.0
"115.76,39.62",0.0,0.0
"116.31,39.69",7.0,0.0
"116.66,40.20",0.0,0.0
"116.32,40.13",0.0,0.0
"116.04,39.59",8.0,0.0
"116.36,40.10",1.0,0.0
"116.37,40.08",6.0,0.0
"116.58,39.79",1.0,1.0
"116.26,39.97",2.0,0.0
"116.27,39.96",6.0,0.0
"116.43,39.84",5.0,0.0
"116.30,40.09",2.0,0.0
"116.62,40.03",6.0,0.0
"116.31,39.88",7.0,0.0
"116.42,40.05",5.0,0.0
"117.11,40.15",4.0,0.0
"116.33,39.92",5.0,0.0
"116.48,39.79",9.0,0.0
"116.30,39.75",3.0,0.0
"116.21,40.17",0.0,0.0
"116.53,39.75",1.0,0.0
"116.21,39.90",14.0,0.0
"116.27,40.02",5.0,0.0
"116.70,39.89",2.0,0.0
"116.59,39.92",3.0,1.0
"116.57,39.86",2.0,0.0
"116.47,40.17",2.0,0.0
"116.73,40.13",0.0,0.0
"116.57,39.77",7.0,0.0
"116.38,39.95",4.0,0.0
"116.32,39.69",9.0,1.0
"116.29,39.90",4.0,0.0
"116.51,39.87",4.0,0.0
"116.48,40.14",0.0,0.0
"116.50,39.91",4.0,0.0
"116.32,39.92",3.0,1.0
"116.30,40.21",4.0,0.0
"116.30,39.85",3.0,1.0
"116.43,39.99",4.0,0.0
"116.09,39.65",2.0,0.0
"116.55,40.08",7.0,1.0
"116.25,39.97",3.0,0.0
"116.51,40.00",6.0,0.0
"116.42,39.82",16.0,0.0
"116.19,39.67",0.0,0.0
"116.56,39.78",9.0,1.0
"116.42,40.04",11.0,0.0
"116.63,40.06",7.0,0.0
"116.50,39.83",1.0,0.0
"116.00,39.72",3.0,0.0
"116.41,39.84",8.0,1.0
"116.45,39.79",3.0,0.0
"116.17,39.74",2.0,0.0
"116.42,39.80",4.0,0.0
"116.48,39.56",1.0,0.0
"116.09,39.96",1.0,0.0
"116.32,39.98",7.0,1.0
"116.49,39.79",9.0,0.0
"116.65,40.12",10.0,0.0
"116.25,39.95",2.0,0.0
"116.45,39.84",2.0,0.0
"116.31,39.92",3.0,0.0
"116.28,40.16",1.0,0.0
"116.12,40.17",0.0,0.0
"116.23,39.85",4.0,0.0
"116.27,39.72",4.0,0.0
"116.72,40.24",2.0,0.0
"116.42,39.95",10.0,0.0
"116.27,39.89",11.0,0.0
"116.38,39.88",6.0,0.0
"116.28,39.89",5.0,0.0
"116.51,40.10",1.0,0.0
"116.60,40.11",3.0,0.0
"116.25,39.92",7.0,0.0
"116.46,39.87",9.0,1.0
"117.07,40.28",3.0,0.0
"116.50,39.98",6.0,0.0
"116.35,39.82",0.0,0.0
"116.33,39.90",5.0,0.0
"116.18,39.92",4.0,0.0
"116.31,39.75",15.0,0.0
"116.42,39.85",7.0,0.0
"116.15,39.76",4.0,0.0
"116.67,39.89",10.0,0.0
"116.68,40.13",1.0,1.0
"116.45,40.02",4.0,0.0
"116.66,40.00",0.0,0.0
"116.34,39.87",10.0,0.0
"116.64,39.84",3.0,0.0
"116.41,39.94",6.0,1.0
"116.34,39.79",10.0,0.0
"116.40,39.94",11.0,0.0
"116.26,40.05",8.0,0.0
"116.35,39.90",9.0,0.0
"116.50,39.80",7.0,1.0
"116.27,40.03",3.0,1.0
"116.27,40.16",4.0,1.0
"116.49,39.95",3.0,0.0
"116.39,40.27",1.0,0.0
"116.30,40.11",6.0,0.0
"116.49,39.62",8.0,0.0
"115.93,40.41",0.0,0.0
"116.35,39.95",5.0,0.0
"116.32,40.07",9.0,0.0
"116.30,40.04",14.0,0.0
"116.20,40.13",1.0,0.0
"116.49,39.78",3.0,0.0
"116.46,39.96",3.0,0.0
"116.41,40.05",3.0,1.0
"116.42,40.00",6.0,0.0
"116.33,39.77",8.0,0.0
"116.45,39.80",8.0,0.0
"116.49,39.90",4.0,0.0
"116.19,39.92",9.0,0.0
"116.53,39.92",5.0,0.0
"116.22,39.77",4.0,0.0
"116.49,39.86",2.0,0.0
"116.47,39.59",0.0,0.0
"116.20,40.15",0.0,0.0
"116.37,39.79",3.0,0.0
"116.52,39.87",4.0,0.0
"116.26,39.92",8.0,0.0
"116.36,39.88",9.0,0.0
"116.12,39.92",1.0,0.0
"116.37,39.89",5.0,1.0
"116.33,39.76",7.0,1.0
"116.74,40.14",0.0,0.0
"116.50,39.77",5.0,0.0
"116.27,39.85",3.0,0.0
"116.38,40.07",4.0,0.0
"116.28,39.80",2.0,0.0
"116.52,39.93",2.0,0.0
"116.62,39.91",7.0,0.0
"116.10,39.91",5.0,0.0
"116.32,39.64",1.0,0.0
"116.38,40.00",6.0,0.0
"116.34,39.84",2.0,0.0
"116.56,39.89",1.0,0.0
"116.26,40.16",10.0,0.0
